video_id,split,num_shards,shards,num_frames,min_frame_id,max_frame_id,frame_id_span,expected_transitions,adjacent_transitions,gap_count,backward_jump_count,continuity_ratio,mean_frame_id_gap,median_frame_id_gap,max_frame_id_gap,estimated_duration_seconds,estimated_duration_minutes,spans_multiple_shards,has_frame_id_gap
24jIoFvJ_7o,val,1,Dataset_Shard_0000000_0099999,1271,22833,24103,1271,1270,1270,0,0,1.0,1.0,1.0,1,1271.0,21.183333333333334,False,False
27uEnvzS8O4,train,1,Dataset_Shard_0000000_0099999,584,24104,24687,584,583,583,0,0,1.0,1.0,1.0,1,584.0,9.733333333333333,False,False
2KbVOj8YcRw,train,1,Dataset_Shard_0000000_0099999,1046,24688,25733,1046,1045,1045,0,0,1.0,1.0,1.0,1,1046.0,17.433333333333334,False,False
2RUNdnb2B1w,val,1,Dataset_Shard_0000000_0099999,1437,25734,27170,1437,1436,1436,0,0,1.0,1.0,1.0,1,1437.0,23.95,False,False
2ZnT6CqmPoQ,train,1,Dataset_Shard_0000000_0099999,942,27171,28112,942,941,941,0,0,1.0,1.0,1.0,1,942.0,15.7,False,False
2aDuMKNR8Z0,train,1,Dataset_Shard_0000000_0099999,1008,28113,29120,1008,1007,1007,0,0,1.0,1.0,1.0,1,1008.0,16.8,False,False
2el-ZR4A4D4,train,1,Dataset_Shard_0000000_0099999,398,29121,29518,398,397,397,0,0,1.0,1.0,1.0,1,398.0,6.633333333333334,False,False
3AR1FxFue7c,train,1,Dataset_Shard_0000000_0099999,665,29519,30183,665,664,664,0,0,1.0,1.0,1.0,1,665.0,11.083333333333334,False,False
3Cg8-eoNXdY,train,1,Dataset_Shard_0000000_0099999,642,30184,30825,642,641,641,0,0,1.0,1.0,1.0,1,642.0,10.7,False,False
3HZMLSYtFEM,val,1,Dataset_Shard_0000000_0099999,332,30826,31157,332,331,331,0,0,1.0,1.0,1.0,1,332.0,5.533333333333333,False,False
3PHrXAE7new,val,1,Dataset_Shard_0000000_0099999,1095,31158,32252,1095,1094,1094,0,0,1.0,1.0,1.0,1,1095.0,18.25,False,False
3YwJ5Fzodfk,train,1,Dataset_Shard_0000000_0099999,1782,32253,34034,1782,1781,1781,0,0,1.0,1.0,1.0,1,1782.0,29.7,False,False
3cwtNTYOszU,test,1,Dataset_Shard_0000000_0099999,783,34035,34817,783,782,782,0,0,1.0,1.0,1.0,1,783.0,13.05,False,False
3p5gb_JqO78,train,1,Dataset_Shard_0000000_0099999,242,34818,35059,242,241,241,0,0,1.0,1.0,1.0,1,242.0,4.033333333333333,False,False
3sty8XW-6FU,train,1,Dataset_Shard_0000000_0099999,307,35060,35366,307,306,306,0,0,1.0,1.0,1.0,1,307.0,5.116666666666666,False,False
3xK6shdTeCs,train,1,Dataset_Shard_0000000_0099999,467,35367,35833,467,466,466,0,0,1.0,1.0,1.0,1,467.0,7.783333333333333,False,False
46-qefy8Nwc,test,1,Dataset_Shard_0000000_0099999,372,35834,36205,372,371,371,0,0,1.0,1.0,1.0,1,372.0,6.2,False,False
49dGxeU0X5E,train,1,Dataset_Shard_0000000_0099999,295,36206,36500,295,294,294,0,0,1.0,1.0,1.0,1,295.0,4.916666666666667,False,False
4Djb4L_VGIU,val,1,Dataset_Shard_0000000_0099999,450,36501,36950,450,449,449,0,0,1.0,1.0,1.0,1,450.0,7.5,False,False
4EtAcruEhTI,train,1,Dataset_Shard_0000000_0099999,870,36951,37820,870,869,869,0,0,1.0,1.0,1.0,1,870.0,14.5,False,False
4F1jCw1yzKA,val,1,Dataset_Shard_0000000_0099999,561,37821,38381,561,560,560,0,0,1.0,1.0,1.0,1,561.0,9.35,False,False
4FjwzNlLCdU,train,1,Dataset_Shard_0000000_0099999,1475,38382,39856,1475,1474,1474,0,0,1.0,1.0,1.0,1,1475.0,24.583333333333332,False,False
4KfWaQz2Qxg,train,1,Dataset_Shard_0000000_0099999,882,39857,40738,882,881,881,0,0,1.0,1.0,1.0,1,882.0,14.7,False,False
4OwtoyYoSKY,train,1,Dataset_Shard_0000000_0099999,1075,40739,41813,1075,1074,1074,0,0,1.0,1.0,1.0,1,1075.0,17.916666666666668,False,False
4ZL5KtH01eQ,train,1,Dataset_Shard_0000000_0099999,974,41814,42787,974,973,973,0,0,1.0,1.0,1.0,1,974.0,16.233333333333334,False,False
4bA4M-spkoI,test,1,Dataset_Shard_0000000_0099999,724,42788,43511,724,723,723,0,0,1.0,1.0,1.0,1,724.0,12.066666666666666,False,False
4ciVQzZxNkk,train,1,Dataset_Shard_0000000_0099999,403,43512,43914,403,402,402,0,0,1.0,1.0,1.0,1,403.0,6.716666666666667,False,False
4xuwsEvzX1g,train,1,Dataset_Shard_0000000_0099999,394,43915,44308,394,393,393,0,0,1.0,1.0,1.0,1,394.0,6.566666666666666,False,False
51bXx1vyjBE,train,1,Dataset_Shard_0000000_0099999,1207,44309,45515,1207,1206,1206,0,0,1.0,1.0,1.0,1,1207.0,20.116666666666667,False,False
59_VE9iR-fE,train,1,Dataset_Shard_0000000_0099999,581,45516,46096,581,580,580,0,0,1.0,1.0,1.0,1,581.0,9.683333333333334,False,False
5Cq1OqWFAzw,test,1,Dataset_Shard_0000000_0099999,1020,46097,47116,1020,1019,1019,0,0,1.0,1.0,1.0,1,1020.0,17.0,False,False
5GLtwzZw3tc,train,1,Dataset_Shard_0000000_0099999,1146,47117,48262,1146,1145,1145,0,0,1.0,1.0,1.0,1,1146.0,19.1,False,False
5HzD-gmSlU0,train,1,Dataset_Shard_0000000_0099999,1152,48263,49414,1152,1151,1151,0,0,1.0,1.0,1.0,1,1152.0,19.2,False,False
5ITYjnz12-Y,train,1,Dataset_Shard_0000000_0099999,532,49415,49946,532,531,531,0,0,1.0,1.0,1.0,1,532.0,8.866666666666667,False,False
5USYVhzhMes,train,1,Dataset_Shard_0000000_0099999,1447,49947,51393,1447,1446,1446,0,0,1.0,1.0,1.0,1,1447.0,24.116666666666667,False,False
5oBOMUXaJwc,test,1,Dataset_Shard_0000000_0099999,807,51394,52200,807,806,806,0,0,1.0,1.0,1.0,1,807.0,13.45,False,False
5sNeoy5PKug,train,1,Dataset_Shard_0000000_0099999,1220,52201,53420,1220,1219,1219,0,0,1.0,1.0,1.0,1,1220.0,20.333333333333332,False,False
5smiMjCVrkg,train,1,Dataset_Shard_0000000_0099999,1216,53421,54636,1216,1215,1215,0,0,1.0,1.0,1.0,1,1216.0,20.266666666666666,False,False
6KzSnrEFKlU,train,1,Dataset_Shard_0000000_0099999,593,54637,55229,593,592,592,0,0,1.0,1.0,1.0,1,593.0,9.883333333333333,False,False
6QNI1KTP-uA,train,1,Dataset_Shard_0000000_0099999,2470,55230,57699,2470,2469,2469,0,0,1.0,1.0,1.0,1,2470.0,41.166666666666664,False,False
6QeMNsQww3A,train,1,Dataset_Shard_0000000_0099999,599,57700,58298,599,598,598,0,0,1.0,1.0,1.0,1,599.0,9.983333333333333,False,False
6mmq34Ib8xg,train,1,Dataset_Shard_0000000_0099999,585,58299,58883,585,584,584,0,0,1.0,1.0,1.0,1,585.0,9.75,False,False
6oSMlrVPW8w,train,1,Dataset_Shard_0000000_0099999,1056,58884,59939,1056,1055,1055,0,0,1.0,1.0,1.0,1,1056.0,17.6,False,False
6rdUDJMfJQc,train,1,Dataset_Shard_0000000_0099999,843,59940,60782,843,842,842,0,0,1.0,1.0,1.0,1,843.0,14.05,False,False
6s1nSHVMZwM,train,1,Dataset_Shard_0000000_0099999,678,60783,61460,678,677,677,0,0,1.0,1.0,1.0,1,678.0,11.3,False,False
6ys4etJ1IFg,train,1,Dataset_Shard_0000000_0099999,3462,61461,64922,3462,3461,3461,0,0,1.0,1.0,1.0,1,3462.0,57.7,False,False
77rVIqWlxNU,train,1,Dataset_Shard_0000000_0099999,1408,64923,66330,1408,1407,1407,0,0,1.0,1.0,1.0,1,1408.0,23.466666666666665,False,False
79n77IIyriY,train,1,Dataset_Shard_0000000_0099999,458,66331,66788,458,457,457,0,0,1.0,1.0,1.0,1,458.0,7.633333333333334,False,False
7HV-wL3jJ5U,val,1,Dataset_Shard_0000000_0099999,1203,66789,67991,1203,1202,1202,0,0,1.0,1.0,1.0,1,1203.0,20.05,False,False
7Uke7HVpaeA,train,1,Dataset_Shard_0000000_0099999,951,67992,68942,951,950,950,0,0,1.0,1.0,1.0,1,951.0,15.85,False,False
7ZUOn2pZRls,train,1,Dataset_Shard_0000000_0099999,1462,68943,70404,1462,1461,1461,0,0,1.0,1.0,1.0,1,1462.0,24.366666666666667,False,False
7erD56xKJaM,train,1,Dataset_Shard_0000000_0099999,454,70405,70858,454,453,453,0,0,1.0,1.0,1.0,1,454.0,7.566666666666666,False,False
7nFvvB200qQ,train,1,Dataset_Shard_0000000_0099999,922,70859,71780,922,921,921,0,0,1.0,1.0,1.0,1,922.0,15.366666666666667,False,False
7nYRFn4c0B8,train,1,Dataset_Shard_0000000_0099999,640,71781,72420,640,639,639,0,0,1.0,1.0,1.0,1,640.0,10.666666666666666,False,False
7tf2BC4mC8s,train,1,Dataset_Shard_0000000_0099999,499,72421,72919,499,498,498,0,0,1.0,1.0,1.0,1,499.0,8.316666666666666,False,False
87ygy8_a7Uk,train,1,Dataset_Shard_0000000_0099999,893,72920,73812,893,892,892,0,0,1.0,1.0,1.0,1,893.0,14.883333333333333,False,False
8BgfmtrtmLI,train,1,Dataset_Shard_0000000_0099999,1101,73813,74913,1101,1100,1100,0,0,1.0,1.0,1.0,1,1101.0,18.35,False,False
8Fo-MdmXmBE,train,1,Dataset_Shard_0000000_0099999,767,74914,75680,767,766,766,0,0,1.0,1.0,1.0,1,767.0,12.783333333333333,False,False
8e9ejcfVQfY,test,1,Dataset_Shard_0000000_0099999,1004,75681,76684,1004,1003,1003,0,0,1.0,1.0,1.0,1,1004.0,16.733333333333334,False,False
8efNcdaz4zU,train,1,Dataset_Shard_0000000_0099999,974,76685,77658,974,973,973,0,0,1.0,1.0,1.0,1,974.0,16.233333333333334,False,False
8rYV4ViS9U4,train,1,Dataset_Shard_0000000_0099999,1007,77659,78665,1007,1006,1006,0,0,1.0,1.0,1.0,1,1007.0,16.783333333333335,False,False
91wTIWNvkCg,train,1,Dataset_Shard_0000000_0099999,812,78666,79477,812,811,811,0,0,1.0,1.0,1.0,1,812.0,13.533333333333333,False,False
96ChCVGsYPM,train,1,Dataset_Shard_0000000_0099999,846,79478,80323,846,845,845,0,0,1.0,1.0,1.0,1,846.0,14.1,False,False
9AE2GviExXs,train,1,Dataset_Shard_0000000_0099999,1233,80324,81556,1233,1232,1232,0,0,1.0,1.0,1.0,1,1233.0,20.55,False,False
9MPPZdAWF4U,train,1,Dataset_Shard_0000000_0099999,176,81557,81732,176,175,175,0,0,1.0,1.0,1.0,1,176.0,2.933333333333333,False,False
9Tq2xbgsGkM,train,1,Dataset_Shard_0000000_0099999,589,81733,82321,589,588,588,0,0,1.0,1.0,1.0,1,589.0,9.816666666666666,False,False
9azhMaMU4Eo,test,1,Dataset_Shard_0000000_0099999,1524,82322,83845,1524,1523,1523,0,0,1.0,1.0,1.0,1,1524.0,25.4,False,False
9lVD-SGOSjg,train,1,Dataset_Shard_0000000_0099999,2015,83846,85860,2015,2014,2014,0,0,1.0,1.0,1.0,1,2015.0,33.583333333333336,False,False
9oBVaGfsKf4,train,1,Dataset_Shard_0000000_0099999,1581,85861,87441,1581,1580,1580,0,0,1.0,1.0,1.0,1,1581.0,26.35,False,False
9vQKn6w95ow,train,1,Dataset_Shard_0000000_0099999,710,87442,88151,710,709,709,0,0,1.0,1.0,1.0,1,710.0,11.833333333333334,False,False
9yQHxxtlxt4,train,1,Dataset_Shard_0000000_0099999,629,88152,88780,629,628,628,0,0,1.0,1.0,1.0,1,629.0,10.483333333333333,False,False
A2dimG5cbgc,train,1,Dataset_Shard_0000000_0099999,1268,88781,90048,1268,1267,1267,0,0,1.0,1.0,1.0,1,1268.0,21.133333333333333,False,False
AE1Dd0KPmlw,train,1,Dataset_Shard_0000000_0099999,1258,90049,91306,1258,1257,1257,0,0,1.0,1.0,1.0,1,1258.0,20.966666666666665,False,False
AG0EifkPvGY,train,1,Dataset_Shard_0000000_0099999,760,91307,92066,760,759,759,0,0,1.0,1.0,1.0,1,760.0,12.666666666666666,False,False
AKC7bYyldHo,train,1,Dataset_Shard_0000000_0099999,1625,92067,93691,1625,1624,1624,0,0,1.0,1.0,1.0,1,1625.0,27.083333333333332,False,False
AOHQ0aYQ4QI,train,1,Dataset_Shard_0000000_0099999,811,93692,94502,811,810,810,0,0,1.0,1.0,1.0,1,811.0,13.516666666666667,False,False
AQ_qy4s9-58,train,1,Dataset_Shard_0000000_0099999,272,94503,94774,272,271,271,0,0,1.0,1.0,1.0,1,272.0,4.533333333333333,False,False
AXEbpZ0lhEM,train,1,Dataset_Shard_0000000_0099999,1542,94775,96316,1542,1541,1541,0,0,1.0,1.0,1.0,1,1542.0,25.7,False,False
Al4Q6ORp6CQ,val,1,Dataset_Shard_0000000_0099999,769,96317,97085,769,768,768,0,0,1.0,1.0,1.0,1,769.0,12.816666666666666,False,False
Aw4Vaqqq_Eg,train,1,Dataset_Shard_0000000_0099999,330,97086,97415,330,329,329,0,0,1.0,1.0,1.0,1,330.0,5.5,False,False
Aymbap8XcG8,train,1,Dataset_Shard_0000000_0099999,1636,97416,99051,1636,1635,1635,0,0,1.0,1.0,1.0,1,1636.0,27.266666666666666,False,False
AzqgcU5_3mo,train,1,Dataset_Shard_0000000_0099999,641,99052,99692,641,640,640,0,0,1.0,1.0,1.0,1,641.0,10.683333333333334,False,False
B3np71w5K1c,train,2,Dataset_Shard_0000000_0099999|Dataset_Shard_0100000_0199999,619,99693,100311,619,618,618,0,0,1.0,1.0,1.0,1,619.0,10.316666666666666,True,False
B5IAda_ZR3Q,train,1,Dataset_Shard_0100000_0199999,906,100312,101217,906,905,905,0,0,1.0,1.0,1.0,1,906.0,15.1,False,False
BDFwFmaztC0,train,1,Dataset_Shard_0100000_0199999,920,101218,102137,920,919,919,0,0,1.0,1.0,1.0,1,920.0,15.333333333333334,False,False
BI2jJ2nsUaw,train,1,Dataset_Shard_0100000_0199999,459,102138,102596,459,458,458,0,0,1.0,1.0,1.0,1,459.0,7.65,False,False
BaGpiUru22U,train,1,Dataset_Shard_0100000_0199999,686,102597,103282,686,685,685,0,0,1.0,1.0,1.0,1,686.0,11.433333333333334,False,False
Bdy36xv68Fs,train,1,Dataset_Shard_0100000_0199999,1499,103283,104781,1499,1498,1498,0,0,1.0,1.0,1.0,1,1499.0,24.983333333333334,False,False
BevoiaUK5ao,train,1,Dataset_Shard_0100000_0199999,601,104782,105382,601,600,600,0,0,1.0,1.0,1.0,1,601.0,10.016666666666667,False,False
C09ZpevuOVk,train,1,Dataset_Shard_0100000_0199999,770,105383,106152,770,769,769,0,0,1.0,1.0,1.0,1,770.0,12.833333333333334,False,False
C5tgj76oc7E,train,1,Dataset_Shard_0100000_0199999,638,106153,106790,638,637,637,0,0,1.0,1.0,1.0,1,638.0,10.633333333333333,False,False
CF81s4pzmew,val,1,Dataset_Shard_0100000_0199999,52,106791,106842,52,51,51,0,0,1.0,1.0,1.0,1,52.0,0.8666666666666667,False,False
CIc39aXlHRY,train,1,Dataset_Shard_0100000_0199999,1023,106843,107865,1023,1022,1022,0,0,1.0,1.0,1.0,1,1023.0,17.05,False,False
CIkvuF5f6ak,val,1,Dataset_Shard_0100000_0199999,1020,107866,108885,1020,1019,1019,0,0,1.0,1.0,1.0,1,1020.0,17.0,False,False
CNbMProDX_I,train,1,Dataset_Shard_0100000_0199999,515,108886,109400,515,514,514,0,0,1.0,1.0,1.0,1,515.0,8.583333333333334,False,False
CRYDNSvrbis,train,1,Dataset_Shard_0100000_0199999,3159,109401,112559,3159,3158,3158,0,0,1.0,1.0,1.0,1,3159.0,52.65,False,False
Ccs73enFclU,train,1,Dataset_Shard_0100000_0199999,575,112560,113134,575,574,574,0,0,1.0,1.0,1.0,1,575.0,9.583333333333334,False,False
CiYlq0pHhnM,train,1,Dataset_Shard_0100000_0199999,1239,113135,114373,1239,1238,1238,0,0,1.0,1.0,1.0,1,1239.0,20.65,False,False
Cl1w60d8Tqc,train,1,Dataset_Shard_0100000_0199999,1026,114374,115399,1026,1025,1025,0,0,1.0,1.0,1.0,1,1026.0,17.1,False,False
Ctp1DySPKS0,train,1,Dataset_Shard_0100000_0199999,1475,115400,116874,1475,1474,1474,0,0,1.0,1.0,1.0,1,1475.0,24.583333333333332,False,False
CzkK0xSXUMs,test,1,Dataset_Shard_0100000_0199999,798,116875,117672,798,797,797,0,0,1.0,1.0,1.0,1,798.0,13.3,False,False
D2q4s2rE0s_,train,1,Dataset_Shard_0100000_0199999,2351,117673,120023,2351,2350,2350,0,0,1.0,1.0,1.0,1,2351.0,39.18333333333333,False,False
DN3a8fF6FtU,train,1,Dataset_Shard_0100000_0199999,972,120024,120995,972,971,971,0,0,1.0,1.0,1.0,1,972.0,16.2,False,False
DOjCrrrGa5s,train,1,Dataset_Shard_0100000_0199999,1348,120996,122343,1348,1347,1347,0,0,1.0,1.0,1.0,1,1348.0,22.466666666666665,False,False
DXcoe1mtinI,train,1,Dataset_Shard_0100000_0199999,680,122344,123023,680,679,679,0,0,1.0,1.0,1.0,1,680.0,11.333333333333334,False,False
DZHdNtwKBMo,train,1,Dataset_Shard_0100000_0199999,1079,123024,124102,1079,1078,1078,0,0,1.0,1.0,1.0,1,1079.0,17.983333333333334,False,False
De9wq1vFUVo,train,1,Dataset_Shard_0100000_0199999,1589,124103,125691,1589,1588,1588,0,0,1.0,1.0,1.0,1,1589.0,26.483333333333334,False,False
DhitzRyJg4k,train,1,Dataset_Shard_0100000_0199999,810,125692,126501,810,809,809,0,0,1.0,1.0,1.0,1,810.0,13.5,False,False
DlBR2IuS-_Q,train,1,Dataset_Shard_0100000_0199999,1182,126502,127683,1182,1181,1181,0,0,1.0,1.0,1.0,1,1182.0,19.7,False,False
DpcTinoxOZQ,train,1,Dataset_Shard_0100000_0199999,647,127684,128330,647,646,646,0,0,1.0,1.0,1.0,1,647.0,10.783333333333333,False,False
DwsiVdwkl_M,train,1,Dataset_Shard_0100000_0199999,975,128331,129305,975,974,974,0,0,1.0,1.0,1.0,1,975.0,16.25,False,False
DzJPrFInDgI,val,1,Dataset_Shard_0100000_0199999,461,129306,129766,461,460,460,0,0,1.0,1.0,1.0,1,461.0,7.683333333333334,False,False
E0OylseYSt8,train,1,Dataset_Shard_0100000_0199999,407,129767,130173,407,406,406,0,0,1.0,1.0,1.0,1,407.0,6.783333333333333,False,False
E5eP26MKE98,train,1,Dataset_Shard_0100000_0199999,1407,130174,131580,1407,1406,1406,0,0,1.0,1.0,1.0,1,1407.0,23.45,False,False
EJiNfGhoa3Y,train,1,Dataset_Shard_0100000_0199999,696,131581,132276,696,695,695,0,0,1.0,1.0,1.0,1,696.0,11.6,False,False
EQhbPGMfvZU,train,1,Dataset_Shard_0100000_0199999,866,132277,133142,866,865,865,0,0,1.0,1.0,1.0,1,866.0,14.433333333333334,False,False
F1UNeBWv6Ww,train,1,Dataset_Shard_0100000_0199999,705,133143,133847,705,704,704,0,0,1.0,1.0,1.0,1,705.0,11.75,False,False
F1mXo8STM24,train,1,Dataset_Shard_0100000_0199999,415,133848,134262,415,414,414,0,0,1.0,1.0,1.0,1,415.0,6.916666666666667,False,False
F3BeAm1eM6Y,test,1,Dataset_Shard_0100000_0199999,288,134263,134550,288,287,287,0,0,1.0,1.0,1.0,1,288.0,4.8,False,False
F89GbwV1duU,train,1,Dataset_Shard_0100000_0199999,1052,134551,135602,1052,1051,1051,0,0,1.0,1.0,1.0,1,1052.0,17.533333333333335,False,False
FF6KGtNtiwQ,train,1,Dataset_Shard_0100000_0199999,1098,135603,136700,1098,1097,1097,0,0,1.0,1.0,1.0,1,1098.0,18.3,False,False
FFcXOiRGMaU,train,1,Dataset_Shard_0100000_0199999,990,136701,137690,990,989,989,0,0,1.0,1.0,1.0,1,990.0,16.5,False,False
FGjqL-YO8E8,train,1,Dataset_Shard_0100000_0199999,409,137691,138099,409,408,408,0,0,1.0,1.0,1.0,1,409.0,6.816666666666666,False,False
FHQdsG4y6sA,val,1,Dataset_Shard_0100000_0199999,353,138100,138452,353,352,352,0,0,1.0,1.0,1.0,1,353.0,5.883333333333334,False,False
FNFe75hIKd4,train,1,Dataset_Shard_0100000_0199999,885,138453,139337,885,884,884,0,0,1.0,1.0,1.0,1,885.0,14.75,False,False
FUGgFV3WFig,train,1,Dataset_Shard_0100000_0199999,1035,139338,140372,1035,1034,1034,0,0,1.0,1.0,1.0,1,1035.0,17.25,False,False
FhpkDxLChRA,train,1,Dataset_Shard_0100000_0199999,1094,140373,141466,1094,1093,1093,0,0,1.0,1.0,1.0,1,1094.0,18.233333333333334,False,False
Fi_z7GBejhs,train,1,Dataset_Shard_0100000_0199999,1275,141467,142741,1275,1274,1274,0,0,1.0,1.0,1.0,1,1275.0,21.25,False,False
FzpQ92s8Idw,train,1,Dataset_Shard_0100000_0199999,1157,142742,143898,1157,1156,1156,0,0,1.0,1.0,1.0,1,1157.0,19.283333333333335,False,False
G5iYNFJuHkc,train,1,Dataset_Shard_0100000_0199999,715,143899,144613,715,714,714,0,0,1.0,1.0,1.0,1,715.0,11.916666666666666,False,False
G6vEW8-Tk5w,train,1,Dataset_Shard_0100000_0199999,501,144614,145114,501,500,500,0,0,1.0,1.0,1.0,1,501.0,8.35,False,False
G8vA3NnBdms,val,1,Dataset_Shard_0100000_0199999,554,145115,145668,554,553,553,0,0,1.0,1.0,1.0,1,554.0,9.233333333333333,False,False
GVoppuU8cFo,train,1,Dataset_Shard_0100000_0199999,637,145669,146305,637,636,636,0,0,1.0,1.0,1.0,1,637.0,10.616666666666667,False,False
Gi3eUcsqhks,train,1,Dataset_Shard_0100000_0199999,846,146306,147151,846,845,845,0,0,1.0,1.0,1.0,1,846.0,14.1,False,False
GrND9qai5pY,train,1,Dataset_Shard_0100000_0199999,596,147152,147747,596,595,595,0,0,1.0,1.0,1.0,1,596.0,9.933333333333334,False,False
HDs_owlm-kM,test,1,Dataset_Shard_0100000_0199999,716,147748,148463,716,715,715,0,0,1.0,1.0,1.0,1,716.0,11.933333333333334,False,False
HRJ4OhgNX08,train,1,Dataset_Shard_0100000_0199999,367,148464,148830,367,366,366,0,0,1.0,1.0,1.0,1,367.0,6.116666666666666,False,False
HWcwP-2-gBU,train,1,Dataset_Shard_0100000_0199999,1931,148831,150761,1931,1930,1930,0,0,1.0,1.0,1.0,1,1931.0,32.18333333333333,False,False
HrG_CiyMH7A,train,1,Dataset_Shard_0100000_0199999,933,150762,151694,933,932,932,0,0,1.0,1.0,1.0,1,933.0,15.55,False,False
Hvip1xhAJEk,train,1,Dataset_Shard_0100000_0199999,541,151695,152235,541,540,540,0,0,1.0,1.0,1.0,1,541.0,9.016666666666667,False,False
HvxUw40lGmU,val,1,Dataset_Shard_0100000_0199999,520,152236,152755,520,519,519,0,0,1.0,1.0,1.0,1,520.0,8.666666666666666,False,False
